País,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
French Guiana,576314,555793,714945,614789,689735,712679,739451,835897,945093,917532,873521,720224
French Polynesia,995157,1000174,857369,741149,698801,605659,642552,751616,872178,971427,1068709,881818
French Southern Territories,843619,693102,477222,337076,227575,182379,207408,289410,489433,701038,800896,894377
Gabon,650417,679641,738291,721035,665918,589943,595771,565508,636855,644828,671774,657273
Gambia,845196,883565,1032038,1054348,1063127,944573,708300,654296,649377,829675,816635,799463
Georgia,728326,950282,1348449,1780522,1771336,1877744,1877188,1595014,1394448,1097505,797982,587719
Germany,119756,236271,455516,637723,835022,736375,776248,727415,488406,284230,139542,93347
Ghana,871082,848901,926264,860303,767502,683149,620916,635594,680641,753206,779657,801091
Greece,353759,428601,716915,878590,993410,1181421,1147226,1019745,803881,564272,353563,284165
Greenland,5883,51964,247485,638132,1059712,1203086,1046206,702858,333567,87667,11598,2128
Grenada,769396,881730,846483,951626,857644,935832,912585,815034,925230,823487,806026,724019
Guadeloupe,757772,856189,917811,986919,896422,1017291,980779,873723,930986,780409,780719,703199
Guam,770923,866956,966001,1037286,917813,950463,841254,698765,770340,674545,786415,742420
Guatemala,649493,715314,860280,957992,823655,821931,843033,820187,838304,696635,664174,690098
Guernsey,146365,253370,542929,735460,859797,808958,882096,765635,562172,260174,188676,110960
Guinea,887757,900878,986031,954829,838272,743987,613527,580219,663671,750435,755821,824300
Guinea-Bissau,860562,880915,1018037,1046639,994343,834746,626891,597984,637375,755227,765635,814115
Guyana,588835,631803,721187,637073,647125,653206,649429,734024,882559,879727,776079,642293
Haiti,727871,828208,961192,914451,1037407,1035708,1060252,949209,950487,769758,665722,706159
Heard Island and McDonald Islands,858310,659453,377367,257653,130113,83652,103399,192826,395343,615591,800020,910264
Honduras,647406,724857,864297,930335,793659,858205,868072,847122,853775,721596,598559,660798
Hong Kong (China),417974,417161,644853,637237,748091,716935,850459,853887,839825,716141,477428,387879
Hungary,206475,344969,604061,734922,842786,916379,926775,869885,595531,363753,195838,146162
Iceland,15437,90476,255601,510197,832722,924773,774167,524726,295806,139550,29330,4430
India,675950,838583,987202,993073,1047918,854013,625862,590861,666560,760586,683887,653236
Indonesia,705932,769405,709340,757700,709990,696923,673049,764868,841081,835601,733461,692294
Iraq,509538,659864,885926,1034300,1140891,1199001,1160076,1109403,947390,698073,500947,444482
Ireland,91417,156081,427192,637562,732699,653931,617584,599520,422031,250275,136030,81262
Islamic Republic of Iran,552270,674045,886286,997718,1116637,1158515,1122060,1084061,920088,739647,532017,474774
Isle of Man,106135,172063,456906,674126,852655,757036,706632,606052,439555,268754,128476,75586
Israel,463627,604452,827598,1052309,1143690,1191205,1148975,1077013,917970,701335,526225,449347
Italy,303240,433169,708999,760715,949268,1072288,1059736,949942,655128,458241,286978,253917
Jamaica,705062,808150,919762,907471,974096,992611,1029228,925674,935850,774968,714607,682510
Japan,356091,442603,608190,765486,813729,737060,779416,772668,625941,530155,349165,303536
Jersey,150910,263267,540497,729063,843625,790552,871272,770658,562523,266799,194524,113382
Jordan,539651,681045,902254,1096136,1180595,1232320,1198584,1132062,970335,749819,572414,511085
Kazakhstan,243229,386054,561068,875154,986341,999683,1003382,880442,652138,394325,219411,187683
Kenya,1033100,1045533,1055225,892660,853392,798977,727178,840432,947373,898080,848769,839833
Kiribati,954546,1013337,967390,888281,851293,824814,793005,909168,956474,976898,958475,899457
Korea,400177,525427,645247,816621,928948,852844,719573,644607,624658,594661,404080,335487
Kosovo,277056,385056,673374,766515,808691,1137132,1070372,965319,700347,498492,258329,217356
Kuwait,575573,716109,946841,1018717,1120467,1168298,1125050,1097857,968286,771155,589004,505163
Kyrgyzstan,404892,546661,774945,996449,1004338,1031153,1049910,957815,765383,594796,411467,337967
Lao People's Democratic Republic,581064,767808,838358,867223,715710,643417,596944,613231,663490,717363,608927,601032
Latvia,72964,186182,348069,608925,812765,824225,809930,569468,367160,191182,66747,46038
Lebanon,379652,571263,795264,1014402,1103763,1185391,1159827,1085528,910746,644993,486338,382432
Lesotho,1141742,991967,886657,743244,612863,509734,591794,708136,851291,979383,1100320,1028579
Liberia,745487,740000,775274,714339,641730,568671,497736,501164,593109,660325,677550,695353
Libya,644870,774015,970319,1085095,1148336,1196668,1190271,1112993,1000320,833763,677262,593435
Lithuania,82083,195823,352150,628039,820348,778922,811233,579000,390497,211131,72733,57759
Luxembourg,118135,264958,498422,607007,798301,668491,778911,794729,523376,297141,121781,89039
Madagascar,756559,872666,820418,711775,673758,607042,647344,777359,891657,1002026,986178,985539
Malawi,711496,870911,779262,782319,788514,706825,772697,836858,994439,1064380,992504,819768
Malaysia,662234,752288,752964,785547,779898,784553,707568,802098,761277,716166,636205,617367
Maldives,924245,895449,1008745,927973,875991,856625,850849,857249,883399,758727,812515,760549
Mali,820762,875418,1028473,1052953,1109204,1060570,994513,947585,941350,895381,832532,773198
Malta,398767,548972,774621,977049,1081214,1190054,1152066,1039730,826072,581791,420508,369083
Marshall Islands,812154,896154,915107,956480,903812,914410,855247,879053,893312,853340,788856,776062
Martinique,785492,881450,900598,1007610,872346,1012272,974850,859164,949941,796916,813411,725241
Mauritania,756586,869771,1011529,1075573,1171013,1141105,1099780,1042044,979499,902056,792044,751152
Mauritius,1086004,978419,914263,788795,640945,574103,642901,717490,839960,973342,1021525,1035853
Mayotte,808192,921590,828949,794220,773724,728717,764073,872086,956514,1029676,1053326,1012988
Mexico,665075,730079,955277,1087989,1093292,1029149,964943,914876,845367,797836,660091,627215
Micronesia (Federated States of),805600,807375,909038,910949,799608,768908,754839,807784,798027,777613,750657,747354
Mongolia,315909,486910,717299,888667,1038065,1020012,917414,864200,705272,496664,317340,242002
Montenegro,282275,370199,697787,658457,843185,1101694,1055537,961441,682757,466641,254410,209450
Montserrat,748322,856859,933979,1003189,915605,1026720,998694,898368,924821,788063,771649,700417
Morocco,566467,735881,893040,984421,1127348,1165277,1149988,1050925,904480,690003,530289,519735
Mozambique,818718,915668,809746,733783,721081,628471,669235,772185,870354,969521,991879,909590
Myanmar,695923,850410,936734,942877,801723,554298,503413,536535,579426,690647,609538,674534
Namibia,1095361,984853,967411,861026,772459,684992,721123,833691,1030636,1140516,1137338,1175051
Nauru,974306,1029340,974296,811479,857123,810730,783524,870628,907568,911957,880650,824809
Nepal,596640,741129,948949,999480,1086710,891470,551885,633629,646365,769395,673143,592952
Netherlands,110795,214412,413539,598583,782797,728262,794143,729013,463750,248677,130742,80736
New Caledonia,976593,926467,757060,714961,584938,483711,528572,642828,787220,897679,992025,967200
New Zealand,945773,714964,600799,471885,309999,247964,256839,381345,550535,756271,952147,957854
Nicaragua,644812,720158,866945,868268,771964,789195,751325,779663,742938,721784,664333,643118
Niger,847372,916256,1081789,1122489,1114878,1104953,1055928,1005310,1001539,959511,874691,817424
Nigeria,900358,902102,1017850,918639,824038,758296,661838,630774,723510,790537,840573,862242
Niue,726267,754891,851889,770247,542749,578497,610363,682322,780530,975426,987112,1054613
Norfolk Island,1043905,924636,740113,621519,461389,389687,426928,575697,759800,980704,1012160,936088
Northern Mariana Islands,716484,802024,933323,1022723,945226,1011336,839225,654813,794622,702256,753021,685794
Norway,27341,104717,279420,570102,781459,767630,595853,500342,291179,140343,33438,14880
Oman,784613,894067,1054327,1078334,1143032,1085634,987076,957301,948174,920828,796824,707938
Pakistan,596850,747152,935603,1015925,1149347,1131040,1025701,902546,793039,790339,651743,549218
Palau,775139,780554,867553,869902,727579,725761,736235,751412,697127,791012,749931,747144
Panama,752158,841285,871908,769999,704179,683573,625424,664146,687117,625492,568658,659860
Papua New Guinea,674224,804858,660397,721271,571353,545701,582286,582995,634290,755370,739706,807357
Paraguay,1043071,917486,886730,571958,543258,446388,498562,664560,839159,860394,884245,967165
People's Republic of China,430534,559936,738257,897161,948337,897807,858977,830164,712241,604670,452415,387597
Peru,795578,722052,744730,713474,712691,688986,726675,821439,879161,860727,870881,760112
Philippines,674838,705409,798457,927049,832139,762148,702847,825779,694676,732559,733699,669994
Plurinational State of Bolivia,849611,775814,810555,688862,669195,622084,686809,816251,918871,965414,831701,849794
Poland,115960,232016,437442,646676,817668,744138,813443,668688,460206,262684,118019,92421
Portugal,384182,577665,746489,753794,974144,1050251,1147922,1011038,771579,510783,327337,273119
Puerto Rico,719130,820732,922164,990937,983888,1038124,989162,915856,949778,768158,718772,667633
Qatar,661200,803421,936275,1011299,1139740,1134090,1094386,1058956,963034,832105,667509,559774
Republic of Moldova,186591,352491,521450,731471,833338,990826,1008110,808678,651409,335595,184052,137707
Republic of North Macedonia,313739,398371,666960,777387,847502,1149675,1084938,966419,716805,520359,274456,248121
Republic of the Congo,769036,749803,795447,782391,690088,665872,686494,664535,702220,717815,745464,711422
Reunion,1077429,1013939,859462,767739,651089,578016,629048,760574,867862,1013729,1051730,1051157
Romania,216787,365315,619042,731927,762713,987225,1003572,862688,664420,393602,240011,168780
Russian Federation,76819,193778,412698,633894,816853,862154,785311,564779,374706,185933,80722,51814
Rwanda,858173,846143,861164,699408,702228,726556,762779,798289,800237,785324,772909,775858
Saint Helena,999676,900394,762650,643069,496345,414657,429527,531341,626553,789846,919803,982414
Saint Kitts and Nevis,734251,849863,922667,1005358,911909,1021590,988894,894510,917297,775511,760470,689753
Saint Lucia,779078,890878,871495,993177,848514,1003596,965667,837720,946722,796781,808466,729364
Saint Pierre and Miquelon,142750,302745,502119,689024,872063,890737,857182,641933,594246,341422,179449,140037
Saint Vincent and the Grenadines,780719,891748,835393,969238,843356,978277,939425,809796,927580,802519,807923,730743
Saint-Barthelemy,725055,848386,920937,1016395,912286,1046183,982568,909679,920125,770599,749952,676341
Sao Tome and Principe,749725,806982,846770,751334,655116,693842,766505,818791,780822,692031,778951,741151
Saudi Arabia,721220,841730,998507,1065115,1159467,1146892,1091060,1072514,994795,873065,725231,648871
Senegal,830976,875304,1030411,1057810,1082553,991062,801263,727033,734998,863875,816926,788007
Serbia,227704,357427,649925,756568,768597,1053944,1015962,940846,677005,435982,256780,184120
Seychelles,901759,952270,912729,877667,766247,776528,792524,842949,877947,942933,992207,949901
Sierra Leone,837681,889799,911334,830398,667485,599840,483762,472650,585013,634984,668312,785149
Singapore,777782,790645,792185,795482,765536,745101,719689,794133,833227,815445,639803,576179
Sint Maarten (Dutch part),725790,846295,921524,1016802,912044,1041757,981740,904179,925839,773179,748932,672152
Slovak Republic,178800,316153,555671,692646,847647,800566,842172,792298,546279,314506,144779,130030
Slovenia,229323,361011,609505,673922,857890,910639,880404,825799,531579,338479,177932,176229
Solomon Islands,758265,770629,825735,784664,657477,617463,621407,741870,737144,820592,883928,830102
Somalia,980552,1036563,1096063,971148,856929,784175,771634,881722,925670,851399,875416,841921
South Africa,1148280,1007727,883280,729582,602631,504025,553878,685541,845633,946923,1115444,1062344
South Georgia and the South Sandwich Islands,846786,682655,425065,208409,89027,62044,90023,174387,365985,614668,777663,1010239
South Sudan,926536,972371,1003729,927496,858584,808179,727014,768716,843223,876931,852963,855463
Spain,373305,557733,778532,787158,1031871,1109703,1129303,1015910,757063,531179,328272,295456
Spratly Islands,692266,789341,829609,939324,840721,730308,728938,859100,672017,814799,780991,733702
Sri Lanka,799891,805073,968825,847205,953614,849743,873499,858478,858213,713590,684425,602639
State of Palestine,439692,573365,802153,1036781,1133585,1188524,1144862,1064687,910223,665668,494238,423289
Sudan,867700,966606,1090291,1160051,1109174,1038827,971819,963098,973850,928385,870252,828176
Suriname,601117,596371,734479,638457,722447,719961,738021,789673,969703,960187,862042,730563
Svalbard and Jan Mayen Islands,2.914,3092,108235,466009,799408,906777,664566,426979,128669,16095,40.81,0
Swaziland,924738,932128,783547,702397,590193,572421,554191,715430,663362,697254,783966,884127
Sweden,35626,141780,342096,534913,788082,748208,682214,518980,322915,140481,44036,18985
Switzerland,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,
Thailand,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,
Togo,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,
Tonga,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,
Turkey,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,
Uganda,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
United Republic of Tanzania,,,,,,,,,,,,
United States,,,,,,,,,,,,
United States Minor Outlying Islands,,,,,,,,,,,,
United States Virgin Islands,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,
Western Samoa,,,,,,,,,,,,
Yemen,,,,,,,,,,,,
Zambia,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,
Mordovia,112021,241925,412117,636950,845503,816937,871547,632052,420108,182769,83329,76341
