Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Marshall Islands,746130,863262,794998,854974,782296,800048,815633,848987,844756,787599,758394,727157
Martinique,751323,863094,965520,987407,1022959,965987,976392,960301,909157,835970,747691,751198
Mauritania,790270,846556,1039170,1146558,1168915,1116428,1106978,1033424,973328,890589,778267,759437
Mauritius,907310,935322,852295,737856,702450,618765,623175,745898,881317,990526,1053483,1043843
Mayotte,723944,931865,821712,895826,813980,747489,729510,868691,955872,1063351,1087851,1029945
Mexico,643517,740573,947913,1050324,1095269,990832,1023706,948390,821221,690778,653854,605947
Micronesia (Federated States of),742707,802314,848570,886670,801316,774774,736166,791006,797855,845775,782526,739190
Mongolia,308927,481887,693511,870977,1041957,1022455,911736,824209,702303,520763,331698,256314
Montenegro,260902,308651,478803,856486,890361,837026,918416,830614,735932,465398,297043,228386
Montserrat,729424,824247,982061,1022364,1037825,1014879,1000962,992533,922164,837133,730216,721751
Morocco,526227,676087,812363,975212,1074081,1167993,1153502,1035377,844548,678135,544560,537094
Mozambique,893791,797988,828539,732048,678674,648490,592533,799569,915855,946227,954533,877330
Myanmar,654738,825837,929948,934414,815008,526773,522819,509537,666080,611207,690908,598313
Namibia,1202119,1087364,923906,808615,735932,691362,688474,843071,1016011,1111503,1229536,1230676
Nauru,987225,945135,876714,963959,909954,887456,856757,872745,957586,970804,754319,796302
Nepal,633706,720781,927015,949060,953315,806320,558900,502373,698294,772898,633772,577164
Netherlands,102901,288852,388219,637943,899109,812117,970645,701580,492285,314779,159362,77401
New Caledonia,949339,986935,746989,716746,559537,516558,521742,627739,776658,935973,1037497,915183
New Zealand,913960,753303,610638,436981,305217,234158,271558,381624,579922,766890,875837,956733
Nicaragua,613475,743340,872465,915200,787168,705904,775599,721486,734631,640294,660509,659599
Niger,862480,927778,1084526,1157475,1138637,1099790,1071809,977008,1007042,930348,877941,812542
Nigeria,924056,898249,967705,936115,843166,761638,725414,667312,744562,808953,871011,871039
Niue,895077,937743,821060,657996,640820,561668,528101,673877,802108,777512,937050,890833
Norfolk Island,1024251,935945,790313,641195,468541,434400,462161,562436,761685,839165,1081269,1146005
Northern Mariana Islands,700391,823816,938013,961503,1015659,941515,783294,704626,799866,790427,749938,674410
Norway,26201,119236,337352,571568,805632,751690,815055,474702,300192,138356,33764,12879
Oman,797132,877224,1038755,1108742,1089313,1078434,1008871,954070,953799,841442,778567,740771
Pakistan,633449,726377,929308,1058696,1154796,1107383,981817,937762,895175,790482,639201,587075
Palau,727302,821616,915210,922786,867891,769289,683259,789369,808044,837708,797916,750004
Panama,663659,861354,876884,804073,671861,600822,619057,657778,679388,643470,606620,766327
Papua New Guinea,740911,758892,659747,677376,647400,566713,547832,621592,643602,748863,760370,748491
Paraguay,917948,906077,746205,767377,589702,392921,495679,627265,745759,703985,869463,1038160
People's Republic of China,435806,589924,757412,891974,943199,908843,851814,793382,697031,605012,452622,377487
Peru,782904,776071,748710,721215,691734,650450,698636,778046,915390,823675,825348,811951
Philippines,615017,748468,893461,932832,905914,789757,705285,763868,767019,815588,728101,647161
Plurinational State of Bolivia,828631,778987,772653,776414,698277,602221,691786,761165,908415,848942,823584,882366
Poland,107695,248865,399557,716756,904796,854145,790224,728778,516225,315817,141247,66653
Portugal,334870,486106,568710,785166,962000,985546,1054390,1048088,809813,563931,331005,308527
Puerto Rico,688808,801037,922526,990070,1009144,977289,989715,961868,877332,733163,714964,693715
Qatar,682879,767905,969999,982691,1117797,1127223,1087975,1059259,951175,802995,633783,606514
Republic of Moldova,175735,258836,456284,828240,932510,897255,846322,885223,540721,422950,163340,131157
Republic of North Macedonia,304239,329206,557810,864702,921139,861597,905812,853725,740689,505894,302999,251527
Republic of the Congo,794400,762115,837667,769399,702365,699235,669261,677653,731540,745953,725885,695345
Reunion,924903,908076,831952,715359,679023,568509,621530,763141,924345,983513,1042531,1145636
Romania,214213,281184,461854,821032,921968,856638,809353,849532,607707,446204,219567,160191
Russian Federation,74517,185442,407823,669412,836912,883993,764651,597439,374304,193515,86919,50469
Rwanda,757917,810284,789001,658665,726248,790087,776247,764260,849365,781945,770865,751907
Saint Helena,983345,930109,823840,652918,509412,446296,469792,530206,679946,811159,936866,930601
Saint Kitts and Nevis,717122,827145,981054,1002856,1031428,1018009,988556,975388,918951,802045,716609,704384
Saint Lucia,743595,863373,953399,974022,1009722,945794,959392,941301,903692,824104,752719,765319
Saint Pierre and Miquelon,163862,269584,465625,714560,856217,854670,692491,720507,584097,330206,199343,160979
Saint Vincent and the Grenadines,743137,877448,937935,965284,994460,930818,936362,930479,894143,804350,762503,786787
Saint-Barthelemy,706076,823795,981625,1006870,1040117,1016642,1000745,977136,917934,782740,708584,687735
Sao Tome and Principe,759525,763405,827902,815105,694033,730691,719518,773126,770920,745369,698648,682152
Saudi Arabia,727765,808241,991662,1063644,1133170,1131596,1100357,1076108,979097,838741,679811,659369
Senegal,841941,887981,1041982,1102246,1116557,1001821,823658,749671,775384,884108,793118,803042
Serbia,242018,305516,500811,816035,957707,819479,806171,835615,673810,465691,263818,180754
Seychelles,907383,935423,951002,789659,750222,762643,783351,885020,889508,949696,1004406,894781
Sierra Leone,850618,876222,818410,810060,740580,574233,509347,508977,576883,677836,691053,781791
Singapore,651005,891808,844677,816571,714377,656801,751170,819807,825235,729657,637509,642379
Sint Maarten (Dutch part),709261,821479,978813,1004428,1040338,1012931,999849,973420,920878,778286,708744,685344
Slovak Republic,142347,272913,419999,750418,870958,811034,828357,765157,564911,356236,194632,109806
Slovenia,182829,283173,440156,781718,810075,860141,857218,798771,585874,392214,176603,180166
Solomon Islands,793593,902934,683851,681202,699852,622260,596875,702721,764199,797346,786910,759471
Somalia,995670,1010916,1035078,880966,807571,758643,786521,842697,914074,888311,872471,877235
South Africa,1156449,977744,858582,678032,580459,529993,555002,675507,879253,1041190,1161410,1174265
South Georgia and the South Sandwich Islands,815588,593552,384940,210160,108329,64207,79683,158942,324888,586803,803824,876009
South Sudan,967798,923295,934259,906012,832899,779656,793510,803480,914645,869245,867767,851895
Spain,340923,459690,610524,825801,947798,1021299,1095085,990236,772558,530544,332504,324834
Spratly Islands,635120,819122,966018,1004506,921828,755863,732384,839739,760475,831701,718786,678110
Sri Lanka,775827,841097,884237,901592,769179,824377,850926,841022,902597,673094,635819,686378
State of Palestine,434263,579467,838328,985692,1031769,1147187,1140317,1038433,896555,664377,487640,378541
Sudan,879762,947274,1087322,1167688,1100700,1036323,960931,957536,961600,929177,882699,820645
Suriname,680115,582935,728381,596959,529151,589675,640904,862821,891923,944664,741589,590369
Svalbard and Jan Mayen Islands,8.989,3087,119381,454772,709099,851804,666403,411519,159771,17823,34.86,0.25
Swaziland,958708,722119,749778,619333,545364,536818,533054,574655,813922,876561,908602,851456
Sweden,32985,126599,346715,618613,899095,861858,864522,562990,363558,180296,45211,17659
Switzerland,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,
Thailand,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,
Togo,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,
Tonga,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,
Turkey,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,
Uganda,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
United Republic of Tanzania,,,,,,,,,,,,
United States,,,,,,,,,,,,
United States Minor Outlying Islands,,,,,,,,,,,,
United States Virgin Islands,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,
Western Samoa,,,,,,,,,,,,
Yemen,,,,,,,,,,,,
Zambia,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,
Mordovia,89091,247750,507536,636441,936496,965930,811613,818830,474279,243202,117878,63935
